IN,NN,NNP,RB,VBN,JJ,VBD,NNS,MD,JJS,VBG,VBZ,VB,CD,VBP,NNPS,DT,JJR,PDT,EX,RBR,CC,WDT,RBS,FW,PRP,RP,WP$,TO,WRB,'',UH,WP,SYM,$,PRP$,POS,sentence_count,word_count
3.0,126.0,73.0,34.0,25.0,82.0,7.0,51.0,6.0,0.0,27.0,7.0,25.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,858.0
23.0,666.0,590.0,99.0,92.0,315.0,68.0,354.0,15.0,6.0,101.0,40.0,229.0,74.0,84.0,55.0,5.0,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,5639.0
4.0,127.0,94.0,17.0,12.0,72.0,6.0,46.0,7.0,0.0,8.0,7.0,23.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,747.0
10.0,109.0,100.0,13.0,17.0,38.0,15.0,56.0,0.0,0.0,13.0,3.0,11.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,638.0
11.0,209.0,134.0,33.0,36.0,125.0,26.0,98.0,7.0,0.0,27.0,8.0,24.0,4.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1281.0
8.0,135.0,175.0,23.0,29.0,105.0,26.0,97.0,1.0,1.0,19.0,1.0,29.0,11.0,6.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1186.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,53.0,64.0,6.0,4.0,27.0,11.0,23.0,0.0,0.0,9.0,3.0,11.0,5.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,365.0
8.0,94.0,85.0,14.0,8.0,37.0,9.0,28.0,2.0,0.0,18.0,15.0,21.0,6.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,645.0
8.0,228.0,144.0,25.0,25.0,167.0,8.0,84.0,2.0,1.0,22.0,12.0,44.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1470.0
3.0,41.0,35.0,2.0,6.0,12.0,7.0,16.0,0.0,1.0,5.0,1.0,8.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,245.0
4.0,133.0,40.0,14.0,6.0,70.0,9.0,36.0,0.0,3.0,18.0,2.0,23.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,618.0
2.0,99.0,158.0,19.0,20.0,55.0,26.0,30.0,4.0,1.0,16.0,8.0,26.0,5.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,790.0
11.0,107.0,137.0,24.0,16.0,39.0,22.0,38.0,1.0,1.0,17.0,10.0,15.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,789.0
5.0,86.0,138.0,18.0,18.0,56.0,27.0,47.0,1.0,0.0,19.0,7.0,19.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,749.0
9.0,163.0,180.0,36.0,17.0,92.0,48.0,81.0,4.0,0.0,46.0,7.0,36.0,3.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1205.0
3.0,124.0,69.0,25.0,21.0,88.0,9.0,84.0,3.0,0.0,29.0,6.0,34.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,836.0
15.0,280.0,138.0,34.0,36.0,178.0,14.0,87.0,6.0,0.0,37.0,14.0,50.0,4.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,1689.0
